Status,Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price
1,1,2,48,46,2,1,1,90,170,14000,0,1000,1125
1,5,1,36,37,2,1,1,74,138,0,0,900,1358
2,1,1,36,28,2,2,1,47,122,0,0,950,1100
1,2,1,60,36,2,1,1,58,129,0,0,1125,1575
1,3,2,60,32,2,1,1,45,90,6000,0,1500,2502
1,18,2,48,48,2,2,1,105,129,3000,0,780,2220
2,1,5,60,30,4,1,2,35,70,0,0,925,925
1,2,5,36,24,1,1,1,35,69,3000,0,600,1604
2,1,1,36,37,2,2,1,97,71,0,0,1300,1700
1,1,2,60,52,2,1,1,60,250,3000,0,1550,1850
1,0,1,60,29,1,1,1,35,0,0,0,1550,1700
1,7,6,60,27,1,1,1,35,78,0,0,1500,1878
2,2,2,60,32,2,2,1,60,101,7000,2500,1600,1850
1,5,5,60,32,2,1,3,60,538,0,0,1400,2360
1,6,6,36,23,1,1,1,35,68,0,0,600,1271
1,18,2,12,58,3,2,1,75,158,6000,0,400,973
1,4,2,60,31,2,1,1,60,177,3000,0,1300,1409
1,10,2,60,32,2,1,1,45,419,5500,2500,1300,1995
1,20,2,30,62,2,1,3,60,300,24000,9000,600,823
2,2,2,60,43,2,1,2,75,71,3000,0,1500,1552
1,13,1,60,34,2,1,1,65,199,0,0,1550,2100
2,1,1,48,47,2,1,1,74,140,0,0,2000,2201
2,15,2,60,50,3,2,3,35,25,15000,2520,880,951
1,3,6,48,39,2,1,3,60,50,5000,0,900,1177
1,20,2,12,43,2,1,3,90,0,3000,0,500,1909
1,1,5,60,28,1,1,2,35,67,0,0,1050,1387
1,8,1,60,46,2,1,3,45,0,0,0,1000,1359
2,7,2,48,29,2,1,1,60,62,4000,0,984,984
1,30,2,36,51,2,1,3,120,208,15000,0,1500,1713
2,0,1,36,54,2,2,4,45,0,0,0,2100,2100
1,3,5,48,29,4,1,1,35,108,0,0,900,1263
2,0,1,48,44,2,1,3,90,0,0,0,600,700
1,35,2,36,59,2,1,3,60,125,6000,0,500,1389
1,7,2,60,34,4,1,1,35,96,8000,0,850,1213
1,25,2,60,41,2,2,1,45,114,5500,4500,1600,1665
2,0,1,48,42,2,1,2,75,0,0,0,1300,1400
2,5,3,36,50,2,1,1,60,165,8000,0,750,875
2,11,1,60,37,1,2,1,74,135,0,0,1400,1937
2,11,2,60,42,2,1,1,60,80,3600,0,1200,1322
2,1,1,60,29,2,1,1,84,86,0,0,1350,1743
1,3,1,60,36,2,1,2,42,72,0,0,850,1263
1,17,5,36,43,2,1,1,75,200,0,0,1000,2355
1,5,5,60,28,1,1,1,35,176,0,0,1190,1390
2,25,2,60,44,1,2,1,35,100,3500,360,1050,1606
2,0,3,6,22,1,2,2,35,115,1000,0,250,800
2,4,1,60,27,3,2,3,35,0,0,0,1700,1700
1,22,2,48,40,2,1,1,45,180,99999999,0,1200,2206
2,12,1,48,47,2,1,3,75,300,0,0,2000,2196
2,0,2,60,38,2,1,1,45,87,10000,4500,900,1000
1,14,5,24,28,2,1,1,45,192,0,0,1000,1736
2,3,5,60,25,2,1,1,35,70,0,0,1300,1332
2,0,5,36,35,2,1,3,75,0,0,0,1450,1500
2,29,2,60,52,2,1,2,45,175,2500,0,1186,1286
2,2,5,30,25,2,1,3,35,31,0,0,250,550
1,16,5,36,45,1,1,1,35,76,0,0,500,1210
1,10,2,60,41,2,1,1,75,187,2500,0,1150,1250
1,1,6,60,27,1,1,1,35,125,4000,1200,1500,1558
1,9,1,48,23,2,1,1,65,197,0,0,400,2305
1,15,5,60,34,2,1,1,45,108,0,0,1000,1995
2,1,1,60,24,2,2,2,42,70,0,0,1700,1761
1,2,3,48,26,1,1,1,35,133,3000,0,1000,1114
1,3,5,60,29,1,1,1,35,70,0,0,950,1177
1,0,1,60,30,2,1,1,64,188,0,0,1400,1475
2,10,2,24,53,2,2,1,60,60,3000,0,1750,2038
1,10,2,60,55,2,1,3,60,0,10000,0,1000,1180
1,12,3,60,38,2,2,1,90,195,1500,200,1150,1310
1,1,5,24,19,1,1,1,35,28,0,0,400,600
1,5,1,60,28,2,1,3,77,171,0,0,2500,3070
1,4,5,24,27,1,1,1,35,110,0,0,370,525
1,1,3,36,27,2,1,1,45,124,99999999,99999999,1300,1636
1,4,2,60,29,2,1,2,60,155,5000,2500,900,1110
1,2,2,48,49,2,1,1,45,125,4000,0,500,1600
2,3,1,60,44,4,2,1,60,150,0,0,1650,1772
2,1,1,60,27,1,1,1,43,75,0,0,1000,1375
1,3,1,48,33,2,1,3,89,291,0,0,900,1041
